2025-09-19 22:44:46 | features=[0, 0, 0, 76, 96, 0, 0] | ML=0 [0.817, 0.137, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:46 | features=[0, 0, 0, 91, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:46 | features=[0, 0, 0, 93, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:46 | features=[0, 0, 0, 93, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:47 | features=[0, 0, 0, 95, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:47 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:48 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:48 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:48 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:49 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:50 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:50 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:50 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:50 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:51 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:51 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:52 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:52 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:53 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:53 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:53 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:53 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:54 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:54 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:54 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:54 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:55 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:55 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:55 | features=[0, 0, 0, 95, 75, 0, 0] | ML=0 [0.807, 0.147, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:56 | features=[0, 0, 0, 94.5, 71, 0, 0] | ML=0 [0.807, 0.147, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:56 | features=[0, 0, 0, 94.5, 71, 0, 0] | ML=0 [0.807, 0.147, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:56 | features=[0, 0, 0, 94, 67, 0, 0] | ML=0 [0.807, 0.147, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:56 | features=[0, 0, 0, 94, 67, 0, 0] | ML=0 [0.807, 0.147, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:57 | features=[0, 0, 0, 93.5, 63, 0, 0] | ML=0 [0.807, 0.147, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:58 | features=[0, 0, 0, 93, 59, 0, 0] | ML=0 [0.803, 0.147, 0.05] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:58 | features=[0, 0, 0, 93, 59, 0, 0] | ML=0 [0.803, 0.147, 0.05] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:58 | features=[0, 0, 0, 92.5, 55, 0, 0] | ML=0 [0.567, 0.147, 0.287] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:58 | features=[0, 0, 0, 92.5, 55, 0, 0] | ML=0 [0.567, 0.147, 0.287] | Final=JAMMED [0.05, 0.2, 0.75]
